city,device,gender,age_min,age_max,age_bracket,count
colchester,all,all,,,all,98000
colchester,all,all,13,17,13-17,7600
colchester,all,all,18,24,18-24,24000
colchester,all,all,25,34,25-34,24000
colchester,all,all,35,44,35-44,18600
colchester,all,all,45,54,45-54,15000
colchester,all,all,55,64,55-64,9000
colchester,all,all,65,,65+,7000
colchester,all,male,,,all,46000
colchester,all,male,13,17,13-17,3600
colchester,all,male,18,24,18-24,12400
colchester,all,male,25,34,25-34,11200
colchester,all,male,35,44,35-44,8600
colchester,all,male,45,54,45-54,6400
colchester,all,male,55,64,55-64,3800
colchester,all,male,65,,65+,3200
colchester,all,female,,,all,50000
colchester,all,female,13,17,13-17,4000
colchester,all,female,18,24,18-24,12200
colchester,all,female,25,34,25-34,11600
colchester,all,female,35,44,35-44,9600
colchester,all,female,45,54,45-54,8200
colchester,all,female,55,64,55-64,5000
colchester,all,female,65,,65+,3600
colchester,desktop,all,,,all,66000
colchester,desktop,all,13,17,13-17,5200
colchester,desktop,all,18,24,18-24,17000
colchester,desktop,all,25,34,25-34,14600
colchester,desktop,all,35,44,35-44,12000
colchester,desktop,all,45,54,45-54,10800
colchester,desktop,all,55,64,55-64,6800
colchester,desktop,all,65,,65+,5800
colchester,desktop,male,,,all,30000
colchester,desktop,male,13,17,13-17,2400
colchester,desktop,male,18,24,18-24,8400
colchester,desktop,male,25,34,25-34,6800
colchester,desktop,male,35,44,35-44,5200
colchester,desktop,male,45,54,45-54,4600
colchester,desktop,male,55,64,55-64,2800
colchester,desktop,male,65,,65+,2800
colchester,desktop,female,,,all,36000
colchester,desktop,female,13,17,13-17,2800
colchester,desktop,female,18,24,18-24,8600
colchester,desktop,female,25,34,25-34,7600
colchester,desktop,female,35,44,35-44,6400
colchester,desktop,female,45,54,45-54,6000
colchester,desktop,female,55,64,55-64,3800
colchester,desktop,female,65,,65+,2800
colchester,mobile,all,,,all,80000
colchester,mobile,all,13,17,13-17,7000
colchester,mobile,all,18,24,18-24,22000
colchester,mobile,all,25,34,25-34,20000
colchester,mobile,all,35,44,35-44,16000
colchester,mobile,all,45,54,45-54,11600
colchester,mobile,all,55,64,55-64,5800
colchester,mobile,all,65,,65+,3800
colchester,mobile,male,,,all,38000
colchester,mobile,male,13,17,13-17,3200
colchester,mobile,male,18,24,18-24,11200
colchester,mobile,male,25,34,25-34,10000
colchester,mobile,male,35,44,35-44,7400
colchester,mobile,male,45,54,45-54,4800
colchester,mobile,male,55,64,55-64,2400
colchester,mobile,male,65,,65+,1580
colchester,mobile,female,,,all,42000
colchester,mobile,female,13,17,13-17,3800
colchester,mobile,female,18,24,18-24,11400
colchester,mobile,female,25,34,25-34,10600
colchester,mobile,female,35,44,35-44,8200
colchester,mobile,female,45,54,45-54,6600
colchester,mobile,female,55,64,55-64,3400
colchester,mobile,female,65,,65+,2200
canterbury,all,all,,,all,58000
canterbury,all,all,13,17,13-17,4200
canterbury,all,all,18,24,18-24,22000
canterbury,all,all,25,34,25-34,13000
canterbury,all,all,35,44,35-44,7800
canterbury,all,all,45,54,45-54,6600
canterbury,all,all,55,64,55-64,4200
canterbury,all,all,65,,65+,4200
canterbury,all,male,,,all,26000
canterbury,all,male,13,17,13-17,1880
canterbury,all,male,18,24,18-24,10000
canterbury,all,male,25,34,25-34,6200
canterbury,all,male,35,44,35-44,3600
canterbury,all,male,45,54,45-54,2800
canterbury,all,male,55,64,55-64,1740
canterbury,all,male,65,,65+,1800
canterbury,all,female,,,all,30000
canterbury,all,female,13,17,13-17,2200
canterbury,all,female,18,24,18-24,11200
canterbury,all,female,25,34,25-34,6600
canterbury,all,female,35,44,35-44,3800
canterbury,all,female,45,54,45-54,3600
canterbury,all,female,55,64,55-64,2400
canterbury,all,female,65,,65+,2400
canterbury,desktop,all,,,all,44000
canterbury,desktop,all,13,17,13-17,3000
canterbury,desktop,all,18,24,18-24,18000
canterbury,desktop,all,25,34,25-34,9200
canterbury,desktop,all,35,44,35-44,5400
canterbury,desktop,all,45,54,45-54,5000
canterbury,desktop,all,55,64,55-64,3400
canterbury,desktop,all,65,,65+,3600
canterbury,desktop,male,,,all,20000
canterbury,desktop,male,13,17,13-17,1320
canterbury,desktop,male,18,24,18-24,8000
canterbury,desktop,male,25,34,25-34,4400
canterbury,desktop,male,35,44,35-44,2600
canterbury,desktop,male,45,54,45-54,2200
canterbury,desktop,male,55,64,55-64,1380
canterbury,desktop,male,65,,65+,1520
canterbury,desktop,female,,,all,24000
canterbury,desktop,female,13,17,13-17,1620
canterbury,desktop,female,18,24,18-24,9800
canterbury,desktop,female,25,34,25-34,4600
canterbury,desktop,female,35,44,35-44,2600
canterbury,desktop,female,45,54,45-54,2800
canterbury,desktop,female,55,64,55-64,1820
canterbury,desktop,female,65,,65+,1920
canterbury,mobile,all,,,all,46000
canterbury,mobile,all,13,17,13-17,3800
canterbury,mobile,all,18,24,18-24,19400
canterbury,mobile,all,25,34,25-34,11000
canterbury,mobile,all,35,44,35-44,6200
canterbury,mobile,all,45,54,45-54,4600
canterbury,mobile,all,55,64,55-64,2600
canterbury,mobile,all,65,,65+,2200
canterbury,mobile,male,,,all,22000
canterbury,mobile,male,13,17,13-17,1680
canterbury,mobile,male,18,24,18-24,9000
canterbury,mobile,male,25,34,25-34,5200
canterbury,mobile,male,35,44,35-44,3000
canterbury,mobile,male,45,54,45-54,1920
canterbury,mobile,male,55,64,55-64,1060
canterbury,mobile,male,65,,65+,880
canterbury,mobile,female,,,all,24000
canterbury,mobile,female,13,17,13-17,2000
canterbury,mobile,female,18,24,18-24,10200
canterbury,mobile,female,25,34,25-34,5600
canterbury,mobile,female,35,44,35-44,3000
canterbury,mobile,female,45,54,45-54,2600
canterbury,mobile,female,55,64,55-64,1400
canterbury,mobile,female,65,,65+,1200
oxford,all,all,,,all,184000
oxford,all,all,13,17,13-17,13800
oxford,all,all,18,24,18-24,50000
oxford,all,all,25,34,25-34,54000
oxford,all,all,35,44,35-44,34000
oxford,all,all,45,54,45-54,24000
oxford,all,all,55,64,55-64,13400
oxford,all,all,65,,65+,10200
oxford,all,male,,,all,86000
oxford,all,male,13,17,13-17,6200
oxford,all,male,18,24,18-24,24000
oxford,all,male,25,34,25-34,28000
oxford,all,male,35,44,35-44,16000
oxford,all,male,45,54,45-54,10200
oxford,all,male,55,64,55-64,5000
oxford,all,male,65,,65+,4400
oxford,all,female,,,all,92000
oxford,all,female,13,17,13-17,7400
oxford,all,female,18,24,18-24,24000
oxford,all,female,25,34,25-34,26000
oxford,all,female,35,44,35-44,15800
oxford,all,female,45,54,45-54,12800
oxford,all,female,55,64,55-64,7600
oxford,all,female,65,,65+,5200
oxford,desktop,all,,,all,138000
oxford,desktop,all,13,17,13-17,9400
oxford,desktop,all,18,24,18-24,38000
oxford,desktop,all,25,34,25-34,40000
oxford,desktop,all,35,44,35-44,24000
oxford,desktop,all,45,54,45-54,18600
oxford,desktop,all,55,64,55-64,10400
oxford,desktop,all,65,,65+,8400
oxford,desktop,male,,,all,64000
oxford,desktop,male,13,17,13-17,4400
oxford,desktop,male,18,24,18-24,18400
oxford,desktop,male,25,34,25-34,19200
oxford,desktop,male,35,44,35-44,11200
oxford,desktop,male,45,54,45-54,8000
oxford,desktop,male,55,64,55-64,4000
oxford,desktop,male,65,,65+,3800
oxford,desktop,female,,,all,72000
oxford,desktop,female,13,17,13-17,5000
oxford,desktop,female,18,24,18-24,19800
oxford,desktop,female,25,34,25-34,19600
oxford,desktop,female,35,44,35-44,11600
oxford,desktop,female,45,54,45-54,9800
oxford,desktop,female,55,64,55-64,5800
oxford,desktop,female,65,,65+,4400
oxford,mobile,all,,,all,146000
oxford,mobile,all,13,17,13-17,12400
oxford,mobile,all,18,24,18-24,44000
oxford,mobile,all,25,34,25-34,46000
oxford,mobile,all,35,44,35-44,26000
oxford,mobile,all,45,54,45-54,17000
oxford,mobile,all,55,64,55-64,8200
oxford,mobile,all,65,,65+,5000
oxford,mobile,male,,,all,68000
oxford,mobile,male,13,17,13-17,5600
oxford,mobile,male,18,24,18-24,22000
oxford,mobile,male,25,34,25-34,22000
oxford,mobile,male,35,44,35-44,12800
oxford,mobile,male,45,54,45-54,7200
oxford,mobile,male,55,64,55-64,3000
oxford,mobile,male,65,,65+,2000
oxford,mobile,female,,,all,76000
oxford,mobile,female,13,17,13-17,6800
oxford,mobile,female,18,24,18-24,22000
oxford,mobile,female,25,34,25-34,22000
oxford,mobile,female,35,44,35-44,12800
