postcode,"postcodelat","postcodelong","lsoacode","lsoaname","lsoalat","lsoalong","IMD-rank"
MK40 2SD,"52.142527","-0.474485","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SG,"52.143125","-0.474129","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2DG,"52.143151","-0.479608","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SH,"52.144583","-0.474970","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2DH,"52.144080","-0.480526","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SJ,"52.143832","-0.475288","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7RU,"52.144460","-0.473820","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7PW,"52.143172","-0.477751","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7LG,"52.142886","-0.475101","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SL,"52.142888","-0.473874","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7RX,"52.144703","-0.473797","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7DP,"52.143085","-0.474524","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2EE,"52.142028","-0.476197","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SQ,"52.143770","-0.474662","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2DQ,"52.143612","-0.479168","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2EG,"52.142963","-0.478284","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SA,"52.143762","-0.476094","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK40 2BW,"52.144321","-0.479714","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SB,"52.143213","-0.473336","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7PP,"52.142429","-0.475964","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SD,"52.143871","-0.473402","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK41 7SE,"52.143804","-0.473798","E01017500","Bedford 010D","52.14355","-0.47606",9815
MK42 0UT,"52.109991","-0.439758","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UU,"52.110808","-0.436955","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UA,"52.111390","-0.437460","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TL,"52.111714","-0.432717","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UB,"52.110668","-0.439954","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0XJ,"52.112647","-0.433196","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TN,"52.111305","-0.433082","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UX,"52.110318","-0.437951","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UD,"52.110447","-0.432075","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0SZ,"52.109935","-0.434868","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UY,"52.110198","-0.438407","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UE,"52.110891","-0.433681","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TP,"52.111505","-0.433922","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UZ,"52.109830","-0.440465","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UF,"52.110894","-0.432556","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TQ,"52.109472","-0.431774","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FH,"52.108016","-0.438600","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UG,"52.112272","-0.434786","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TR,"52.112333","-0.432579","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UH,"52.112307","-0.434055","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TS,"52.110276","-0.434827","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FJ,"52.108253","-0.438840","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TT,"52.110372","-0.433918","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UJ,"52.111104","-0.432169","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FL,"52.107630","-0.437957","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TB,"52.113879","-0.436599","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UL,"52.109240","-0.434644","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TW,"52.108841","-0.430336","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FN,"52.108741","-0.438371","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TX,"52.109899","-0.436169","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0XA,"52.111386","-0.435796","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UN,"52.108949","-0.434391","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TY,"52.109185","-0.438647","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0XB,"52.111982","-0.435308","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TE,"52.109325","-0.430917","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FP,"52.108085","-0.436349","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0TZ,"52.109453","-0.439193","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UP,"52.110524","-0.433825","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0XD,"52.111205","-0.434984","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FR,"52.108288","-0.436079","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0FS,"52.108707","-0.436517","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK42 0UR,"52.110826","-0.431493","E01017487","Bedford 019B","52.11183","-0.43932",14624
MK40 4JP,"52.131558","-0.483582","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NP,"52.131412","-0.486962","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JS,"52.131286","-0.484117","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JT,"52.132379","-0.483773","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NR,"52.131587","-0.487964","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JU,"52.132056","-0.484544","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NS,"52.131081","-0.487748","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PR,"52.131541","-0.485760","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4LU,"52.131234","-0.482176","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4LA,"52.130406","-0.487727","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NT,"52.131568","-0.488564","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JW,"52.132082","-0.483754","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NU,"52.130775","-0.488430","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JX,"52.130788","-0.485917","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JD,"52.133461","-0.481267","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JY,"52.130006","-0.486644","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JE,"52.133592","-0.480941","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PA,"52.130858","-0.489976","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NW,"52.130906","-0.487447","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JZ,"52.129773","-0.487441","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JF,"52.133051","-0.482216","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PB,"52.131075","-0.491473","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NX,"52.131087","-0.489603","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JG,"52.132745","-0.482899","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NY,"52.131285","-0.490341","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JH,"52.132553","-0.482657","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4NZ,"52.130498","-0.490003","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PE,"52.130983","-0.492046","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PF,"52.132051","-0.490461","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4PG,"52.131679","-0.490956","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JL,"52.132402","-0.482078","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 4JN,"52.131933","-0.482693","E01017538","Bedford 013D","52.13072","-0.48355",9721
MK40 3PX,"52.137851","-0.457855","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PD,"52.135083","-0.459339","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3NZ,"52.135514","-0.462056","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PY,"52.137949","-0.459167","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3LH,"52.139473","-0.459509","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1YN,"52.137457","-0.466271","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 2PR,"52.139389","-0.462727","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1AL,"52.136186","-0.465993","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JJ,"52.138104","-0.462069","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PZ,"52.138000","-0.457543","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3NH,"52.139456","-0.461643","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PG,"52.135816","-0.456946","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1NN,"52.137961","-0.466984","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1AN,"52.135422","-0.466005","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1SU,"52.136773","-0.467609","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PH,"52.135917","-0.461209","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1SB,"52.136297","-0.466968","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JN,"52.138772","-0.460907","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3XD,"52.136181","-0.464210","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1RN,"52.135375","-0.465845","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PJ,"52.136794","-0.460931","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3HP,"52.137545","-0.464003","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1SX,"52.136723","-0.467918","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1JU,"52.137953","-0.467788","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JP,"52.137897","-0.459987","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1SY,"52.137072","-0.467774","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3QA,"52.138915","-0.459470","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PL,"52.136576","-0.460062","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1NS,"52.137400","-0.467383","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3HR,"52.137255","-0.465269","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3US,"52.135797","-0.465173","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1LA,"52.137567","-0.468459","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3QB,"52.138702","-0.458279","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1NT,"52.137286","-0.466905","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3HS,"52.137399","-0.465235","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JR,"52.137397","-0.461670","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3UT,"52.135614","-0.465589","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PN,"52.136307","-0.458727","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1NU,"52.138468","-0.466572","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3QD,"52.137776","-0.459684","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3HU,"52.138324","-0.463085","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JT,"52.138807","-0.462907","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1LD,"52.138022","-0.467493","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PP,"52.136512","-0.457930","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3NR,"52.137211","-0.461165","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1LY,"52.138151","-0.467796","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JU,"52.137696","-0.463238","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1LE,"52.136158","-0.467996","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JA,"52.137782","-0.462197","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3TN,"52.138062","-0.465782","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3PQ,"52.135722","-0.460091","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3RP,"52.136398","-0.463662","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3JB,"52.137565","-0.462804","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3FE,"52.135782","-0.464706","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 1NE,"52.137683","-0.466380","E01017469","Bedford 012D","52.13694","-0.46229",12078
MK40 3HD,"52.137180","-0.465038","E01017469","Bedford 012D","52.13694","-0.46229",12078
