Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK401AJ,10,8,2,10,3,>=30,>=30,>=30
MK401AL,1,0,1,1,2,N/A,N/A,N/A
MK401AN,9,3,6,6,3,19.4,19.5,22
MK401AQ,36,17,19,20,21,22,17.6,>=30
MK401BL,74,42,32,39,27,25,19.3,>=30
MK401BN,102,53,49,50,44,26.2,18.2,>=30
MK401BP,22,13,9,11,<3,N/A,N/A,N/A
MK401BS,19,10,9,15,13,>=30,>=30,>=30
MK401BY,3,3,0,3,5,8.8,8.6,15.2
MK401DA,19,15,4,6,7,19.3,19.8,>=30
MK401DG,149,84,65,50,36,24.2,20.9,>=30
MK401DH,81,38,43,18,16,>=30,20,>=30
MK401DJ,81,48,33,31,21,25.3,20,>=30
MK401DN,34,29,5,6,6,>=30,17.6,>=30
MK401DQ,111,65,46,20,18,26,20,>=30
MK401DS,53,29,24,26,24,17.4,18.2,>=30
MK401DU,23,18,5,20,12,22.8,19.8,>=30
MK401DW,3,2,1,1,9,16,15.2,>=30
MK401DX,94,53,41,29,20,>=30,>=30,>=30
MK401DY,72,31,41,52,23,>=30,>=30,>=30
MK401DZ,71,39,32,34,27,>=30,>=30,>=30
MK401EA,126,52,74,51,45,>=30,20,>=30
MK401ED,3,3,0,1,<3,N/A,N/A,N/A
MK401EF,61,35,26,23,20,23.2,20.1,>=30
MK401EG,115,59,56,32,28,>=30,20,>=30
MK401EJ,16,8,8,9,6,16.5,19.6,21
MK401EL,32,13,19,16,11,>=30,19,>=30
MK401EP,6,4,2,6,8,22.8,20,>=30
MK401EQ,187,105,82,91,51,>=30,>=30,>=30
MK401EZ,4,1,3,2,5,>=30,23.7,>=30
MK401HB,3,2,1,2,2,N/A,N/A,N/A
MK401HG,186,186,0,0,0,N/A,N/A,N/A
MK401HJ,5,4,1,3,4,16.3,20.3,20.9
MK401HP,15,9,6,10,8,25.4,16.8,>=30
MK401HS,2,0,2,2,2,N/A,N/A,N/A
MK401HT,36,18,18,16,8,28.1,20.6,>=30
MK401HU,90,47,43,33,23,28.7,22.2,>=30
MK401HZ,7,2,5,2,2,N/A,N/A,N/A
MK401JA,154,84,70,73,54,27.3,21.2,>=30
MK401JB,40,27,13,11,6,21,19.1,>=30
MK401JD,2,1,1,2,1,N/A,N/A,N/A
MK401JE,15,7,8,7,7,21.6,21.9,24.4
MK401JF,12,7,5,6,6,20.1,20,>=30
MK401JH,61,37,24,40,21,>=30,20.2,>=30
MK401JJ,41,24,17,33,9,29.2,27,>=30
MK401JL,45,28,17,31,16,27.7,23.1,>=30
MK401JN,47,23,24,36,13,23.8,23.1,>=30
MK401JP,53,27,26,34,12,>=30,23,>=30
MK401JR,40,25,15,30,11,24.1,24,>=30
MK401JW,39,27,12,29,10,>=30,>=30,>=30
MK401JX,50,20,30,25,19,25.8,20,>=30
MK401LA,4,3,1,2,10,14.8,12.8,24.4
MK401LD,6,2,4,5,6,20.2,23.4,24.4
MK401LJ,1,1,0,1,5,12.8,8.1,22.3
MK401LQ,2,0,2,1,3,17.4,18.6,22.6
MK401LR,2,1,1,2,4,20.9,20.7,24.1
MK401LY,4,1,3,1,0,N/A,N/A,N/A
MK401NE,27,16,11,14,15,17.3,19,22.8
MK401NN,17,9,8,9,10,17.5,18.8,24.4
MK401NS,1,1,0,1,4,14.1,18.4,23.6
MK401NU,3,0,3,1,3,11.5,8.1,18.6
MK401PE,1,0,1,1,2,N/A,N/A,N/A
MK401PW,3,2,1,1,3,10.6,12,19.2
MK401PX,49,18,31,25,17,22.9,21,>=30
MK401QA,7,4,3,1,0,N/A,N/A,N/A
MK401QB,12,9,3,5,8,21.2,16.4,>=30
MK401QE,29,14,15,14,8,24.9,18,>=30
MK401QH,14,8,6,5,7,24.7,18.8,>=30
MK401QN,30,21,9,12,6,>=30,>=30,>=30
MK401QS,81,48,33,21,22,25.8,20,>=30
MK401QT,106,52,54,32,27,>=30,>=30,>=30
MK401QU,84,46,38,29,21,>=30,20.4,>=30
MK401QW,79,50,29,16,15,>=30,>=30,>=30
MK401QX,133,76,57,40,25,>=30,21.5,>=30
MK401RB,34,20,14,16,13,29.4,20,>=30
MK401RD,66,31,35,27,14,>=30,>=30,>=30
MK401RN,13,10,3,8,4,15.4,18.1,20
MK401RY,19,9,10,9,5,21.4,21.8,22.9
MK401RZ,22,8,14,14,8,13.2,15.3,19.9
MK401SL,10,7,3,8,3,16.8,19.2,21.6
MK401SU,5,5,0,3,5,5.9,7.8,8.1
MK401TE,15,6,9,9,7,>=30,>=30,>=30
MK401TF,72,36,36,43,37,>=30,>=30,>=30
MK401TH,77,49,28,44,43,28.2,18.4,>=30
MK401TT,7,4,3,6,6,20,18.9,>=30
MK401TU,63,36,27,36,20,22.1,20.2,>=30
MK402AH,22,14,8,12,11,29.2,20.5,>=30
MK402AJ,122,62,60,59,46,>=30,20,>=30
MK402AL,103,49,54,43,36,29.1,21,>=30
MK402AP,156,86,70,75,51,>=30,22.3,>=30
MK402AR,20,12,8,9,9,19,16.9,>=30
MK402AS,22,9,13,4,4,23.2,25,>=30
MK402AT,9,7,2,3,3,19.5,19,>=30
MK402AU,15,3,12,5,5,23.2,17.6,>=30
MK402AX,18,13,5,6,6,19.8,18.8,>=30
MK402AY,13,7,6,4,4,>=30,19.6,>=30
MK402AZ,123,71,52,50,36,>=30,>=30,>=30
MK402BA,24,11,13,8,5,18.4,19.3,21.8
MK402BB,90,47,43,34,24,>=30,25,>=30
MK402BD,110,49,61,42,32,27,20,>=30
MK402BE,86,42,44,36,35,23.8,20,>=30
MK402BG,28,7,21,5,4,>=30,25,>=30
MK402BN,2,1,1,2,2,N/A,N/A,N/A
MK402BQ,65,36,29,26,23,26.6,>=30,>=30
MK402BU,138,68,70,62,43,25.1,20,>=30
MK402BW,69,26,43,60,16,26.5,20,>=30
MK402BY,62,33,29,14,26,>=30,>=30,>=30
MK402DA,211,62,149,32,36,27,20,>=30
MK402DB,97,25,72,8,9,19,20,>=30
MK402DD,74,42,32,58,29,23.6,20,>=30
MK402DE,18,11,7,12,6,>=30,20,>=30
MK402DG,49,26,23,27,12,22.4,20.6,>=30
MK402DH,19,9,10,9,5,>=30,20,>=30
MK402DJ,10,5,5,3,3,20.8,12.3,>=30
MK402DQ,4,2,2,2,1,N/A,N/A,N/A
MK402DR,16,6,10,12,8,19.3,16.7,>=30
MK402DS,11,4,7,6,6,>=30,>=30,>=30
MK402DT,10,6,4,6,5,23.5,20,>=30
MK402DU,5,2,3,5,5,>=30,16.6,>=30
MK402DW,73,36,37,36,17,23.4,17.5,>=30
MK402DX,138,60,78,48,35,18,16.9,>=30
MK402DY,14,8,6,4,3,18,18.9,21.6
MK402DZ,39,20,19,24,18,20.4,17.9,>=30
MK402EA,39,22,17,21,16,26.9,18.3,>=30
MK402EB,34,15,19,13,10,24.5,19,>=30
MK402ED,83,45,38,46,27,23.3,17.7,>=30
MK402EE,97,56,41,49,43,27,21.6,>=30
